curr,d,m,y,rate
MDL,12,11,2021,4_05677
HUF,12,11,2021,0_223758
CHF,12,11,2021,77_3706
CZK,12,11,2021,3_23253
KGS,12,11,2021,0_839317
DKK,12,11,2021,10_973
TJS,12,11,2021,6_30894
INR,12,11,2021,0_954791
EUR,11,11,2021,81_787
CNY,11,11,2021,11_0601
KZT,11,11,2021,0_164867
RUB,11,11,2021,1
BYN,11,11,2021,29_0531
GBP,11,11,2021,95_721
UZS,11,11,2021,0_00661933
UAH,11,11,2021,2_71232
TRY,11,11,2021,7_22557
MDL,11,11,2021,4_02821
HUF,11,11,2021,0_226736
CHF,11,11,2021,77_4485
CZK,11,11,2021,3_24631
KGS,11,11,2021,0_833402
DKK,11,11,2021,10_9961
TJS,11,11,2021,6_26451
INR,11,11,2021,0_951801
EUR,10,11,2021,82_6497
CNY,10,11,2021,11_1465
KZT,10,11,2021,0_165995
RUB,10,11,2021,1
BYN,10,11,2021,29_1477
GBP,10,11,2021,96_686
UZS,10,11,2021,0_00666666
UAH,10,11,2021,2_73422
TRY,10,11,2021,7_32459
MDL,10,11,2021,4_06191
HUF,10,11,2021,0_229066
CHF,10,11,2021,78_0282
CZK,10,11,2021,3_27815
KGS,10,11,2021,0_840376
DKK,10,11,2021,11_1014
TJS,10,11,2021,6_32534
INR,10,11,2021,0_962162
EUR,9,11,2021,82_5355
CNY,9,11,2021,11_1595
KZT,9,11,2021,0_166292
RUB,9,11,2021,1
BYN,9,11,2021,29_1145
GBP,9,11,2021,96_0725
UZS,9,11,2021,0_00666938
UAH,9,11,2021,2_73717
TRY,9,11,2021,7_37189
MDL,9,11,2021,4_0709
HUF,9,11,2021,0_229618
CHF,9,11,2021,78_0471
CZK,9,11,2021,3_26418
KGS,9,11,2021,0_841684
DKK,9,11,2021,11_0909
TJS,9,11,2021,6_33518
INR,9,11,2021,0_963458
EUR,8,11,2021,82_5355
CNY,8,11,2021,11_1595
KZT,8,11,2021,0_166292
RUB,8,11,2021,1
BYN,8,11,2021,29_1145
GBP,8,11,2021,96_0725
UZS,8,11,2021,0_00666938
UAH,8,11,2021,2_73717
TRY,8,11,2021,7_37189
MDL,8,11,2021,4_0709
HUF,8,11,2021,0_229618
CHF,8,11,2021,78_0471
CZK,8,11,2021,3_26418
KGS,8,11,2021,0_841684
DKK,8,11,2021,11_0909
TJS,8,11,2021,6_33518
INR,8,11,2021,0_963458
EUR,7,11,2021,82_5355
CNY,7,11,2021,11_1595
KZT,7,11,2021,0_166292
RUB,7,11,2021,1
BYN,7,11,2021,29_1145
GBP,7,11,2021,96_0725
UZS,7,11,2021,0_00666938
UAH,7,11,2021,2_73717
TRY,7,11,2021,7_37189
MDL,7,11,2021,4_0709
HUF,7,11,2021,0_229618
CHF,7,11,2021,78_0471
CZK,7,11,2021,3_26418
KGS,7,11,2021,0_841684
DKK,7,11,2021,11_0909
TJS,7,11,2021,6_33518
INR,7,11,2021,0_963458
EUR,6,11,2021,82_5355
CNY,6,11,2021,11_1595
KZT,6,11,2021,0_166292
RUB,6,11,2021,1
BYN,6,11,2021,29_1145
GBP,6,11,2021,96_0725
UZS,6,11,2021,0_00666938
UAH,6,11,2021,2_73717
TRY,6,11,2021,7_37189
MDL,6,11,2021,4_0709
HUF,6,11,2021,0_229618
CHF,6,11,2021,78_0471
CZK,6,11,2021,3_26418
KGS,6,11,2021,0_841684
DKK,6,11,2021,11_0909
TJS,6,11,2021,6_33518
INR,6,11,2021,0_963458
EUR,5,11,2021,82_5355
CNY,5,11,2021,11_1595
KZT,5,11,2021,0_166292
RUB,5,11,2021,1
BYN,5,11,2021,29_1145
GBP,5,11,2021,96_0725
UZS,5,11,2021,0_00666938
UAH,5,11,2021,2_73717
TRY,5,11,2021,7_37189
MDL,5,11,2021,4_0709
HUF,5,11,2021,0_229618
CHF,5,11,2021,78_0471
CZK,5,11,2021,3_26418
KGS,5,11,2021,0_841684
DKK,5,11,2021,11_0909
TJS,5,11,2021,6_33518
INR,5,11,2021,0_963458
EUR,4,11,2021,82_8112
CNY,4,11,2021,11_1745
KZT,4,11,2021,0_166852
RUB,4,11,2021,1
BYN,4,11,2021,29_0624
GBP,4,11,2021,97_3733
UZS,4,11,2021,0_0066736
UAH,4,11,2021,2_72276
TRY,4,11,2021,7_42512
MDL,4,11,2021,4_08501
HUF,4,11,2021,0_230512
CHF,4,11,2021,78_3426
CZK,4,11,2021,3_23766
KGS,4,11,2021,0_842744
DKK,4,11,2021,11_1346
TJS,4,11,2021,6_34599
INR,4,11,2021,0_959501
EUR,3,11,2021,82_9577
CNY,3,11,2021,11_1704
KZT,3,11,2021,0_167123
RUB,3,11,2021,1
BYN,3,11,2021,29_2321
GBP,3,11,2021,97_575
UZS,3,11,2021,0_00668641
UAH,3,11,2021,2_71922
TRY,3,11,2021,7_52617
MDL,3,11,2021,4_07981
HUF,3,11,2021,0_230408
CHF,3,11,2021,78_5044
CZK,3,11,2021,3_24503
KGS,3,11,2021,0_842712
DKK,3,11,2021,11_1493
TJS,3,11,2021,6_36494
INR,3,11,2021,0_956167
EUR,2,11,2021,82_1687
CNY,2,11,2021,11_101
KZT,2,11,2021,0_166031
RUB,2,11,2021,1
BYN,2,11,2021,29_1194
GBP,2,11,2021,97_2034
UZS,2,11,2021,0_00665963
UAH,2,11,2021,2_70457
TRY,2,11,2021,7_44336
MDL,2,11,2021,4_07108
HUF,2,11,2021,0_228456
CHF,2,11,2021,77_6306
CZK,2,11,2021,3_2112
KGS,2,11,2021,0_838013
DKK,2,11,2021,11_0552
TJS,2,11,2021,6_33004
INR,2,11,2021,0_949038
EUR,1,11,2021,82_1687
CNY,1,11,2021,11_101
KZT,1,11,2021,0_166031
RUB,1,11,2021,1
BYN,1,11,2021,29_1194
GBP,1,11,2021,97_2034
UZS,1,11,2021,0_00665963
UAH,1,11,2021,2_70457
TRY,1,11,2021,7_44336
MDL,1,11,2021,4_07108
HUF,1,11,2021,0_228456
CHF,1,11,2021,77_6306
CZK,1,11,2021,3_2112
KGS,1,11,2021,0_838013
DKK,1,11,2021,11_0552
TJS,1,11,2021,6_33004
INR,1,11,2021,0_949038
EUR,31,10,2021,82_1687
CNY,31,10,2021,11_101
KZT,31,10,2021,0_166031
RUB,31,10,2021,1
BYN,31,10,2021,29_1194
GBP,31,10,2021,97_2034
UZS,31,10,2021,0_00665963
UAH,31,10,2021,2_70457
TRY,31,10,2021,7_44336
MDL,31,10,2021,4_07108
HUF,31,10,2021,0_228456
CHF,31,10,2021,77_6306
CZK,31,10,2021,3_2112
KGS,31,10,2021,0_838013
DKK,31,10,2021,11_0552
TJS,31,10,2021,6_33004
INR,31,10,2021,0_949038
EUR,30,10,2021,82_2898
CNY,30,10,2021,11_0188
KZT,30,10,2021,0_16494
RUB,30,10,2021,1
BYN,30,10,2021,29_1501
GBP,30,10,2021,97_2118
UZS,30,10,2021,0_00660114
UAH,30,10,2021,2_68152
TRY,30,10,2021,7_34384
MDL,30,10,2021,4_04369
HUF,30,10,2021,0_228154
CHF,30,10,2021,77_3415
CZK,30,10,2021,3_20516
KGS,30,10,2021,0_831363
DKK,30,10,2021,11_0561
TJS,30,10,2021,6_27123
INR,30,10,2021,0_940643
EUR,29,10,2021,81_8393
CNY,29,10,2021,11_0194
KZT,29,10,2021,0_164941
RUB,29,10,2021,1
BYN,29,10,2021,29_0496
GBP,29,10,2021,97_0083
UZS,29,10,2021,0_00660554
UAH,29,10,2021,2_68101
TRY,29,10,2021,7_34537
MDL,29,10,2021,4_02975
HUF,29,10,2021,0_224903
CHF,29,10,2021,76_7865
CZK,29,10,2021,3_18119
KGS,29,10,2021,0_831452
DKK,29,10,2021,10_9945
TJS,29,10,2021,6_27408
INR,29,10,2021,0_942727
EUR,28,10,2021,81_0289
CNY,28,10,2021,10_9188
KZT,28,10,2021,0_163586
RUB,28,10,2021,1
BYN,28,10,2021,28_8092
GBP,28,10,2021,95_9823
UZS,28,10,2021,0_0065343
UAH,28,10,2021,2_64809
TRY,28,10,2021,7_35923
MDL,28,10,2021,3_98348
HUF,28,10,2021,0_221726
CHF,28,10,2021,76_0131
CZK,28,10,2021,3_14979
KGS,28,10,2021,0_823078
DKK,28,10,2021,10_8844
TJS,28,10,2021,6_20813
INR,28,10,2021,0_930681
EUR,27,10,2021,80_7019
CNY,27,10,2021,10_8993
KZT,27,10,2021,0_163365
RUB,27,10,2021,1
BYN,27,10,2021,28_8193
GBP,27,10,2021,95_8018
UZS,27,10,2021,0_00650328
UAH,27,10,2021,2_62934
TRY,27,10,2021,7_35866
MDL,27,10,2021,3_96876
HUF,27,10,2021,0_220574
CHF,27,10,2021,75_4612
CZK,27,10,2021,3_1422
KGS,27,10,2021,0_819991
DKK,27,10,2021,10_8535
TJS,27,10,2021,6_17971
INR,27,10,2021,0_926565
EUR,26,10,2021,81_7418
CNY,26,10,2021,10_9908
KZT,26,10,2021,0_164945
RUB,26,10,2021,1
BYN,26,10,2021,29_0124
GBP,26,10,2021,96_6453
UZS,26,10,2021,0_00655278
UAH,26,10,2021,2_66894
TRY,26,10,2021,7_21318
MDL,26,10,2021,4_01227
HUF,26,10,2021,0_224412
CHF,26,10,2021,76_5243
CZK,26,10,2021,3_18301
KGS,26,10,2021,0_826988
DKK,26,10,2021,10_9877
TJS,26,10,2021,6_22311
INR,26,10,2021,0_935095
EUR,25,10,2021,81_7418
CNY,25,10,2021,10_9908
KZT,25,10,2021,0_164945
RUB,25,10,2021,1
BYN,25,10,2021,29_0124
GBP,25,10,2021,96_6453
UZS,25,10,2021,0_00655278
UAH,25,10,2021,2_66894
TRY,25,10,2021,7_21318
MDL,25,10,2021,4_01227
HUF,25,10,2021,0_224412
CHF,25,10,2021,76_5243
CZK,25,10,2021,3_18301
KGS,25,10,2021,0_826988
DKK,25,10,2021,10_9877
TJS,25,10,2021,6_22311
INR,25,10,2021,0_935095
EUR,24,10,2021,81_7418
CNY,24,10,2021,10_9908
KZT,24,10,2021,0_164945
RUB,24,10,2021,1
BYN,24,10,2021,29_0124
GBP,24,10,2021,96_6453
UZS,24,10,2021,0_00655278
UAH,24,10,2021,2_66894
TRY,24,10,2021,7_21318
MDL,24,10,2021,4_01227
HUF,24,10,2021,0_224412
CHF,24,10,2021,76_5243
CZK,24,10,2021,3_18301
KGS,24,10,2021,0_826988
DKK,24,10,2021,10_9877
